id_student,code_module,code_presentation,precision,recall
58731,DDD,2014J,0.1,0.058823529411764705
58873,AAA,2013J,0.45,0.2571428571428571
58884,FFF,2014J,0.4,0.06779661016949153
59185,AAA,2013J,0.25,0.23809523809523808
59272,BBB,2014J,0.15,0.09375
59275,DDD,2013J,0.05,0.09090909090909091
59370,DDD,2013J,0.25,0.10204081632653061
59725,BBB,2014B,0.45,0.3
60135,DDD,2013B,0.1,0.06451612903225806
60162,GGG,2014J,0.3,0.1935483870967742
60405,GGG,2013J,0.2,0.13333333333333333
60416,BBB,2014B,0.15,0.12
60809,CCC,2014J,0.5,0.23255813953488372
60809,EEE,2014J,0.0,0.0
60830,BBB,2014B,0.15,0.2
61227,CCC,2014J,0.5,0.1724137931034483
61911,DDD,2014B,0.1,0.125
62034,EEE,2014J,0.3,0.3157894736842105
62155,AAA,2013J,0.2,0.09090909090909091
62278,CCC,2014B,0.3,0.1935483870967742
62487,AAA,2014J,0.2,0.19047619047619047
62631,BBB,2013B,0.1,0.5
62975,GGG,2013J,0.2,0.36363636363636365
63015,DDD,2014J,0.05,0.02631578947368421
63044,BBB,2013J,0.25,0.5
63112,EEE,2013J,0.25,0.2
63112,FFF,2014J,0.1,0.2222222222222222
63165,AAA,2014J,0.25,0.4166666666666667
63295,FFF,2013J,0.1,0.1
63371,CCC,2014J,0.35,0.25
63400,AAA,2013J,0.25,0.15151515151515152
63467,BBB,2014J,0.65,0.40625
63566,DDD,2013J,0.3,0.0821917808219178
63721,BBB,2014B,0.05,0.030303030303030304
63827,DDD,2014J,0.05,0.2
63856,DDD,2013J,0.3,0.0967741935483871
63949,GGG,2014J,0.0,0.0
64275,BBB,2014B,0.0,0.0
64296,CCC,2014B,0.55,0.4583333333333333
64388,FFF,2013J,0.35,0.08974358974358974
64427,FFF,2014J,0.7,0.109375
64450,DDD,2014B,0.05,0.034482758620689655
64767,DDD,2014B,0.1,0.3333333333333333
64901,GGG,2014B,0.35,0.22580645161290322
65656,FFF,2013B,0.65,0.2826086956521739
66254,CCC,2014B,0.35,0.21212121212121213
66451,FFF,2013J,0.45,0.16071428571428573
66579,DDD,2013B,0.05,0.043478260869565216
66713,EEE,2013J,0.3,0.3333333333333333
67182,GGG,2013J,0.35,0.3333333333333333
67471,DDD,2013J,0.2,0.06451612903225806
67505,DDD,2013J,0.1,0.058823529411764705
67539,EEE,2014J,0.35,0.3684210526315789
67602,DDD,2013B,0.15,0.06382978723404255
67685,EEE,2014J,0.15,0.09375
67781,DDD,2014B,0.25,0.0641025641025641
67785,DDD,2013B,0.25,0.07936507936507936
68107,FFF,2013J,0.2,0.045454545454545456
68208,FFF,2013B,0.45,0.08256880733944955
68376,DDD,2013J,0.2,0.08695652173913043
68417,DDD,2014J,0.45,0.21428571428571427
69491,DDD,2013B,0.1,0.07142857142857142
69494,CCC,2014J,0.15,0.3333333333333333
69703,CCC,2014B,0.0,0.0
70011,AAA,2014J,0.55,0.28205128205128205
70214,EEE,2013J,0.2,0.1111111111111111
70381,CCC,2014B,0.0,0.0
70464,AAA,2013J,0.1,0.1
70495,CCC,2014J,0.25,0.1388888888888889
70495,FFF,2013J,0.15,0.03296703296703297
70537,EEE,2014B,0.45,0.3
70569,BBB,2014J,0.05,0.03225806451612903
70608,BBB,2013B,0.2,0.23529411764705882
71159,FFF,2014J,0.75,0.15151515151515152
71209,DDD,2013J,0.1,0.08333333333333333
71252,FFF,2013J,0.7,0.22580645161290322
71361,AAA,2013J,0.4,0.2222222222222222
71504,BBB,2014J,0.35,0.16666666666666666
71578,FFF,2013B,0.35,0.20588235294117646
71676,DDD,2014J,0.25,0.07462686567164178
71723,CCC,2014J,0.1,0.3333333333333333
71723,DDD,2014B,0.0,0.0
72114,FFF,2014B,0.6,0.10526315789473684
72400,BBB,2014B,0.1,0.046511627906976744
